level,step,checklist,degree,category
5,5,"Athlete will log their thoughts after each session within the training week and include points of improvments for the next training block Athlete will provide a conclusion on this phase to our DCPA coaches at the end of each 4 week block (phase 5) Are athletes repeating old habbits or maintaing new habbits,
Athlete will monitor their eating and log their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block (phase 5) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log total hours of sleep and monitor their moods at the end of the evening (just before bed) and include points of improvments going forward Athlete will provide a conclusion on this phase with a DCPA coach at the end of each 4 week block, (phase 5) Are athletes aware of any physical or mental changes and can the athletes explain what these maybe,
Athletes will log their thoughts pre - during and post competition  Athlete will provide a conclusion on this phase with a DCPA coach at the end of each competition 10 + competitions,
Athlete can explain when he/she/they used the 4FIT approach to help a friend or family member (accountability),",2,0
1,1,"Athlete performs a single leg depth drop from the height of a bench (hold landing in a quarter squat position) 1 x 6 reps per leg with good balance & control (leave box from two legs & land on one leg),
Athlete performs 6 double leg horiziontal jumps: Men>10m / Women >7m - (minimal contact on the ground),
Athlete performs 3 sets of 4 single leg horiziontal hop with ankle perfoming a full cycle over the opposite knee: Men>10m / Women >7m  (minimal contact on the ground),
Athlete performs sand pit jumps for distance (meters/centermeters) Men - 2m 70cm - 2m 90cm  / women - 2m 10cm - 2m 15cm,
Athlete has a 6 meter run up approach and performs alternating bounds for speed & distance Cover a distance of 20 meters Men 3.8 seconds / women 4.2 seconds,",2,2
2,2,"Athlete performs a single leg depth drop from the height of a bench (hold landing in a quarter squat position) then perform 1 verticle jump on the same leg -  2 x 6 reps per leg with good balance & control (leave box from two legs & land on one leg),
Athlete performs 6 double leg horiziontal jumps: Men>12m / Women >9m  (minimal contact on the ground),
Athlete performs 3 sets of 4 single leg horiziontal hop with ankle perfoming a full cycle over the opposite knee: Men>12m / Women >9m  (minimal contact on the ground),
Athlete performs sand pit jumps for distance (meters/centermeters) Men - 2m 90cm - 3m 10cm  / women - 2m 15cm - 2m 20cm,
Athlete has a 6 meter run up approach and performs alternating bounds for speed & distance Cover a distance of 20 meters, Men <3.6 seconds / women <4.0 seconds,",2,2
3,3,"Athlete performs a single leg depth drop from the height of a bench (hold landing in a quarter squat position) then perform 2 verticle jump on the same leg -  2 x 6 reps per leg with good balance & control (leave box from two legs & land on one leg),
Athlete performs 6 double leg horiziontal jumps: Men>14m / Women >11m  (minimal contact on the ground),
Athlete performs 3 sets of 4 single leg horiziontal hop with ankle perfoming a full cycle over the opposite knee: Men>12.5m / Women >9.5m  (minimal contact on the ground),
Athlete performs sand pit jumps for distance (meters/centermeters) Men - 3m 10cm - 3m 20cm  / women - 2m 20cm - 2m 30cm,
Athlete has a 6 meter run up approach and performs alternating bounds for speed & distance Cover a distance of 20 meters Men <3.4 seconds / women <3.8 seconds,",2,2
4,4,"Athlete performs a single leg depth drop from the height of a bench (hold landing in a quarter squat position) then perform 2 horiziontal jumps on the same leg -  2 x 6 reps per leg with good balance & control (leave box from two legs & land on one leg),
Athlete performs 6 double leg horiziontal jumps: Men>14.5m / Women >11.5m  (minimal contact on the ground),
Athlete performs 3 sets of 4 single leg horiziontal hop with ankle perfoming a full cycle over the opposite knee: Men>13m / Women >10m  (minimal contact on the ground),
Athlete performs sand pit jumps for distance (meters/centermeters) Men - 3m 20cm - 3m 25cm  / women - 2m 30cm - 2m 40cm,
Athlete has a 6 meter run up approach and performs alternating bounds for speed & distance Cover a distance of 20 meters Men <3.1 seconds / women <3.5 seconds,",2,2
5,5,"Athlete performs a single leg depth drop from the height of a bench (hold landing in a quarter squat position) then perform 3 horiziontal jumps on the same leg -  2 x 6 reps per leg with good balance & control (leave box from two legs & land on one leg),
Athlete performs 6 double leg horiziontal jumps: Men>15m / Women >12m  (minimal contact on the ground),
Athlete performs 3 sets of 4 single leg horiziontal hop with ankle perfoming a full cycle over the opposite knee: Men>13.5m / Women >10.5m  (minimal contact on the ground),
Athlete performs sand pit jumps for distance (meters/centermeters) Men - 3m 25cm - 3m 30cm +  / women - 2m 40cm - 2m 50cm +,
Athlete has a 6 meter run up approach and performs alternating bounds for speed & distance Cover a distance of 20 meters Men <2.9 seconds / women <3.2 seconds,",2,2
1,1,"3kg Medball toss (forward - lunge orientated toss) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (backward toss onto a single leg hold left & right) Men: 8m / Women 5m (minimum distance),
3kg Medball toss (lateral left - no momentum used for each toss) Men: 7m / Women 4m (minimum distance),
3kg Medball toss (lateral right - no momentum used for each toss) Men: 7m / Women 4m (minimum distance),
3kg Medball - athletes performs 360 degree rortion toss - left and right direction - Men: 9m / Women 6m (minimum distance),",2,3
2,2,"3kg Medball toss (forward - lunge orientated toss) Men: >9.5m / Women >6.5m (minimum distance),
3kg Medball toss (backward toss onto a single leg hold left & right) Men: >8.5m / Women >5.5m (minimum distance),
3kg Medball toss (lateral left - no momentum used for each toss) Men: >7.5m / Women >4.5m (minimum distance),
3kg Medball toss (lateral right - no momentum used for each toss) Men: >7.5m / Women >4.5m (minimum distance),
3kg Medball - athletes performs 360 degree rortion toss - left and right direction - Men: >9.5m / Women >6.5m (minimum distance),",2,3
3,3,"3kg Medball toss (forward - lunge orientated toss) Men: 10m / Women 7m (minimum distance),
3kg Medball toss (backward toss onto a single leg hold left & right) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (lateral left - no momentum used for each toss) Men: 8m / Women 5m (minimum distance),
3kg Medball toss (lateral right - no momentum used for each toss) Men: 8m / Women 5m (minimum distance),
3kg Medball - athletes performs 360 degree rortion toss - left and right direction - Men: 10m / Women 7m (minimum distance),",2,3
4,4," 3kg Medball toss (forward - lunge orientatede toss) Men: >10.5m / Women >7.5m  (minimum distance),
3kg Medball toss (backward toss onto a single leg hold left & right) Men: >9.5m / Women >6.5m (minimum distance),
3kg Medball toss (lateral left - no momentum used for each toss) Men: >8.5m / Women >5.5m (minimum distance),
3kg Medball toss (lateral right - no momentum used for each toss) Men: >8.5m / Women >5.5m (minimum distance),
3kg Medball - athletes performs 360 degree rortion toss - left and right direction - Men: >10.5m / Women >7.5m (minimum distance),",2,3
5,5," 3kg Medball toss (forward - lunge orientatede toss) Men: >11m / Women >8m  (minimum distance),
3kg Medball toss (backward toss onto a single leg hold left & right) Men: 10m / Women 7m (minimum distance),
3kg Medball toss (lateral left - no momentum used for each toss) Men: 9m / Women 6m (minimum distance),
3kg Medball toss (lateral right - no momentum used for each toss) Men: 9m / Women 6m (minimum distance),
3kg Medball - athletes performs 360 degree rortion toss - left and right direction - Men: >11m / Women >8m (minimum distance),",2,3
1,1,"Technical - Bounce drill - distance at 2 x 30 meters (good form),
Technical - A-skip  drill - distance at 2 x 30 meters (good form),
Technical - Scissors drill - distance at 2 x 30 meters (good form),
Technical - High Knees drill - distance at 2 x 30 meters (good form),
Technical - Lightbulb  drill - distance at 2 x 30 meters (good form),",2,1
2,2,"Technical - Bounce drill - distance at 2 x 40 meters (good form),
Technical - A-skip  drill - distance at 2 x 40 meters (good form),
Technical - Scissors drill - distance at 2 x 40 meters (good form),
Technical - High Knees drill - distance at 2 x 40 meters (good form),
Technical - Lightbulb drill - distance at 2 x 40 meters (good form),",2,1
3,3,"Technical - Bounce drill (with a plastic pole or wicket held above their head) distance 2 x 40m,
Technical - A-skip (with a plastic pole or wicket held above their head) distance 2 x 40m,
Technical - Scissors drill (with a plastic pole or wicket held above their head) distance 2 x 40m,
Technical - High Knees drill (with a plastic pole or wicket held above their head) distance 2 x 40m,
Technical - Lightbulb drill (with a plastic pole or wicket held above their head) distance 2 x 40m,",2,1
4,4,"Technical - Bounce drill (with a pole or wicket held above their head) distance 2 x 40m into 10m bounce orientated running,
Technical - A-skip drill (with a pole or wicket held above their head) distance 2 x 40m into 10m bounce orientated running,
Technical - Scissors drill  drill (with a pole or wicket held above their head) distance 2 x 40m into 10m bounce orientated running,
Technical - High Knees drill (with a pole or wicket held above their head) distance 2 x 40m into 10m bounce orientated running,
Technical - Lightbulb drill (with a pole or wicket held above their head) distance 2 x 40m into 10m controlled deceleration,",2,1
5,5,"Technical - Bounce drill (with a pole or wicket heal above their head) distance 2 x 40m into 20m bounce orientated running,
Technical - A-skip drill (with a pole or wicket heal above their head) distance 2 x 40m into 20m bounce orientated running,
Technical - Scissors drill (with a pole or wicket heal above their head) distance 2 x 40m into 20m bounce orientated running,
Technical - High Knees drill (with a pole or wicket heal above their head) distance 2 x 40m into 20m bounce orientated running,
Technical - Lightbulb drill (with a pole or wicket heal above their head) distance 2 x 30m into 20m controlled deceleration,",2,1
1,1,"60m range - men: 7.7 - 7.5 seconds - women: 8.1 - 8.05 - competition or training time performance,
100m range - men: 11.4 - 11.1 seconds - women: 12.3 - 12.0 seconds - competition or training time performance,
200m range - men: 22.1 - 21.8 seconds - women: 25.5 - 25.2 seconds - competition or training time performance,
300m range - men: 43 seconds - women: 47 seconds - times to be achieved in training,
400m range - men: 56.5 seconds - women: 64 seconds - times to be achieved in training,",2,4
2,2,"60m range - men: 7.5 - 7.3 seconds - women: 8.05 - 8.0 - competition or training time performance,
100m range - men: 11.1 - 10.9 seconds - women: 12.0 - 11.9 seconds - competition or training time performance,
200m range - men: 21.8 - 21.5 seconds - women: 25.2 - 24.9 seconds - competition or training time performance,
300m range - men: 41 seconds - women: 45 seconds - times to be achieved in training,
400m range - men: 54.5 seconds - women: 62 seconds - times to be achieved in training,",2,4
3,3,"60m range - men: 7.3 - 7.1 seconds - women: 8.0 - 7.95 - competition or training time performance,
100m range - men: 10.9 - 10.6 seconds - women: 11.9 - 11.8 seconds - competition or training time performance,
200m range - men: 21.5 - 21.2 seconds - women: 24.9 - 24.6 seconds - competition or training time performance,
300m range - men: 39 seconds - women: 43 seconds - times to be achieved in training,
400m range - men: 52.5 seconds - women: 60 seconds - times to be achieved in training,",2,4
4,4,"60m range - men: 7.1 - 6.9 seconds - women: 7.95 - 7.90 - competition or training time performance,
100m range - men: 10.6- 10.4 seconds - women: 11.8 - 11.7 seconds - competition or training time performance,
200m range - men: 21.2 - 20.9 seconds - women: 24.6 - 24.3 seconds - competition or training time performance,
300m range - men: 37 seconds - women: 41 seconds - times to be achieved in training,
400m range - men: 50.5 seconds - women: 58 seconds - times to be achieved in training,",2,4
5,5,"60m range - men: 6.9 - 6.7 seconds - women: 7.9 - 7.85 - competition or training time performance,
100m range - men: 10.4 - 10.3 seconds - women: 11.7 - 11.6 seconds - competition or training time performance,
200m range - men: 20.9 - 20.6 seconds - women: 24.3 - 24.0 seconds - competition or training time performance,
300m range - men: >35 seconds - women: 39 seconds - times to be achieved in training,
400m range - men: 48.5 seconds - women: 56 seconds - times to be achieved in training,",2,4
